name,ticker,market,sector
PT Bank Permata Tbk Class A,BNLI,IDX,Finance
PT Newport Marine Services Tbk,BOAT,IDX,Transportation
PT Formosa Ingredient Factory Tbk,BOBA,IDX,Consumer non-durables
PT Bintang Oto Global Tbk,BOGA,IDX,Retail trade
PT Bali Bintang Sejahtera Tbk,BOLA,IDX,Consumer services
PT Garuda Metalindo Tbk,BOLT,IDX,Producer manufacturing
PT Woori Finance Indonesia Tbk,BPFI,IDX,Finance
PT Batavia Prosperindo Internasional Tbk,BPII,IDX,Commercial services
PT Batavia Prosperindo Trans Tbk,BPTR,IDX,Finance
PT Indo Kordsa Tbk,BRAM,IDX,Process industries
PT Barito Renewables Energy Tbk,BREN,IDX,Utilities
PT Bank Syariah Indonesia Tbk,BRIS,IDX,Finance
PT Bumi Resources Minerals Tbk Class A,BRMS,IDX,Non-energy minerals
PT Berlina Tbk,BRNA,IDX,Process industries
PT Barito Pacific Tbk,BRPT,IDX,Non-energy minerals
PT Raja Roti Cemerlang Tbk,BRRC,IDX,Consumer non-durables
PT Wulandari Bangun Laksana Tbk,BSBK,IDX,Finance
PT Bumi Serpong Damai Tbk,BSDE,IDX,Finance
PT Bank Sinarmas Tbk,BSIM,IDX,Finance
PT Bintang Samudera Mandiri Lines Tbk,BSML,IDX,Transportation
PT Baramulti Suksessarana Tbk,BSSR,IDX,Energy minerals
PT Bank of India Indonesia Tbk,BSWD,IDX,Finance
PT Bumi Teknokultura Unggul Tbk,BTEK,IDX,Process industries
PT Betonjaya Manunggal Tbk,BTON,IDX,Non-energy minerals
PT Bank SMBC Indonesia Tbk,BTPN,IDX,Finance
PT Bank BTPN Syariah Tbk,BTPS,IDX,Finance
PT Segar Kumala Indonesia Tbk,BUAH,IDX,Distribution services
PT Budi Starch & Sweetener Tbk,BUDI,IDX,Process industries
PT Bukalapak.com Tbk,BUKA,IDX,Retail trade
PT Bukaka Teknik Utama Tbk,BUKK,IDX,Producer manufacturing
PT Buana Lintas Lautan Tbk,BULL,IDX,Transportation
PT Bumi Resources Tbk Class A,BUMI,IDX,Energy minerals
PT Bukit Uluwatu Villa Tbk,BUVA,IDX,Consumer services
PT Bank Victoria International Tbk,BVIC,IDX,Finance
PT Eagle High Plantations Tbk.,BWPT,IDX,Process industries
PT Bayan Resources Tbk,BYAN,IDX,Energy minerals
PT Cahayaputra Asa Keramik Tbk,CAKK,IDX,Consumer durables
PT Campina Ice Cream Industry Tbk,CAMP,IDX,Consumer non-durables
PT Capitol Nusantara Indonesia Tbk,CANI,IDX,Transportation
PT Metro Healthcare Indonesia Tbk,CARE,IDX,Health services
PT Industri dan Perdagangan Bintraco Dharma Tbk,CARS,IDX,Retail trade
PT Capital Financial Indonesia Tbk,CASA,IDX,Finance
PT.Cashlez Worldwide Indonesia Tbk,CASH,IDX,Technology services
Cahaya Aero Services Tbk,CASS,IDX,Transportation
PT Bangun Kosambi Sukses Tbk,CBDK,IDX,Finance
PT Citra Buana Prasida Tbk,CBPE,IDX,Finance
PT Cakra Buana Resources Energi Tbk,CBRE,IDX,Transportation
PT Citra Borneo Utama Tbk,CBUT,IDX,Consumer non-durables
PT Communication Cable Systems Indonesia Tbk,CCSI,IDX,Producer manufacturing
PT Chandra Daya Investasi Tbk.,CDIA,IDX,Utilities
PT Wilmar Cahaya Indonesia Tbk,CEKA,IDX,Consumer non-durables
PT Centratama Telekomunikasi Indonesia Tbk,CENT,IDX,Communications
PT Clipan Finance Indonesia Tbk,CFIN,IDX,Finance
PT Citra Nusantara Gemilang Tbk,CGAS,IDX,Utilities
PT Diastika Biotekindo Tbk,CHEK,IDX,Health technology
PT Chemstar Indonesia Tbk,CHEM,IDX,Process industries
PT Pelita Teknologi Global Tbk,CHIP,IDX,Technology services
PT Chitose Internasional Tbk,CINT,IDX,Producer manufacturing
PT Cita Mineral Investindo Tbk,CITA,IDX,Consumer durables
PT Natura City Developments Tbk,CITY,IDX,Finance
PT Citra Putra Realty Tbk,CLAY,IDX,Consumer services
PT Sariguna Primatirta Tbk,CLEO,IDX,Consumer non-durables
PT Colorpak Indonesia Tbk,CLPI,IDX,Process industries
PT Citra Marga Nusaphala Persada Tbk,CMNP,IDX,Transportation
PT Cemindo Gemilang Tbk,CMNT,IDX,Non-energy minerals
PT AirAsia Indonesia Tbk,CMPP,IDX,Transportation
PT Cisarua Mountain Dairy Tbk,CMRY,IDX,Distribution services
PT Exploitasi Energi Indonesia Tbk Class A,CNKO,IDX,Energy minerals
PT Nusantara Sejahtera Raya Tbk,CNMA,IDX,Consumer services
PT Black Diamond Resources Tbk,COAL,IDX,Energy minerals
PT Wahana Interfood Nusantara Tbk,COCO,IDX,Consumer non-durables
PT Indokripto Koin Semesta Tbk,COIN,IDX,Miscellaneous
PT Charoen Pokphand Indonesia Tbk,CPIN,IDX,Process industries
PT Central Proteina Prima Tbk,CPRO,IDX,Process industries
PT Toba Surimi Industries Tbk,CRAB,IDX,Consumer non-durables
PT Carsurin Tbk,CRSN,IDX,Commercial services
PT Catur Sentosa Adiprana Tbk,CSAP,IDX,Distribution services
PT Cahayasakti Investindo Sukses Tbk,CSIS,IDX,Finance
PT Cipta Selera Murni Tbk,CSMI,IDX,Consumer services
PT Cisadane Sawit Raya Tbk,CSRA,IDX,Process industries
PT Citra Tubindo Tbk,CTBN,IDX,Industrial services
PT Ciputra Development Tbk,CTRA,IDX,Finance
PT Citatah Tbk,CTTH,IDX,Non-energy minerals
PT Petrindo Jaya Kreasi Tbk,CUAN,IDX,Non-energy minerals
PT ITSEC Asia Tbk,CYBR,IDX,Technology services
PT Daaz Bara Lestari Tbk,DAAZ,IDX,Distribution services
PT Diamond Citra Propertindo Tbk,DADA,IDX,Finance
PT Duta Anggada Realty Tbk,DART,IDX,Consumer durables
PT Remala Abadi Tbk,DATA,IDX,Communications
